week,date,game type,home,away,winner,loser
1,Sun 1 Sep 1991,season,Denver Broncos,Cincinnati Bengals,Denver Broncos,Cincinnati Bengals
1,Sun 1 Sep 1991,season,Indianapolis Colts,New England Patriots,New England Patriots,Indianapolis Colts
1,Sun 1 Sep 1991,season,Buffalo Bills,Miami Dolphins,Buffalo Bills,Miami Dolphins
1,Sun 1 Sep 1991,season,Houston Oilers,Los Angeles Raiders,Houston Oilers,Los Angeles Raiders
1,Sun 1 Sep 1991,season,Los Angeles Rams,Phoenix Cardinals,Phoenix Cardinals,Los Angeles Rams
1,Sun 1 Sep 1991,season,Cleveland Browns,Dallas Cowboys,Dallas Cowboys,Cleveland Browns
1,Sun 1 Sep 1991,season,New York Jets,Tampa Bay Buccaneers,New York Jets,Tampa Bay Buccaneers
1,Sun 1 Sep 1991,season,Pittsburgh Steelers,San Diego Chargers,Pittsburgh Steelers,San Diego Chargers
1,Sun 1 Sep 1991,season,Chicago Bears,Minnesota Vikings,Chicago Bears,Minnesota Vikings
1,Sun 1 Sep 1991,season,New Orleans Saints,Seattle Seahawks,New Orleans Saints,Seattle Seahawks
1,Sun 1 Sep 1991,season,Kansas City Chiefs,Atlanta Falcons,Kansas City Chiefs,Atlanta Falcons
1,Sun 1 Sep 1991,season,Washington Redskins,Detroit Lions,Washington Redskins,Detroit Lions
1,Sun 1 Sep 1991,season,Green Bay Packers,Philadelphia Eagles,Philadelphia Eagles,Green Bay Packers
1,Mon 2 Sep 1991,season,New York Giants,San Francisco 49ers,New York Giants,San Francisco 49ers
2,Sun 8 Sep 1991,season,Cincinnati Bengals,Houston Oilers,Houston Oilers,Cincinnati Bengals
2,Sun 8 Sep 1991,season,Miami Dolphins,Indianapolis Colts,Miami Dolphins,Indianapolis Colts
2,Sun 8 Sep 1991,season,New York Giants,Los Angeles Rams,Los Angeles Rams,New York Giants
2,Sun 8 Sep 1991,season,Seattle Seahawks,New York Jets,Seattle Seahawks,New York Jets
2,Sun 8 Sep 1991,season,New England Patriots,Cleveland Browns,Cleveland Browns,New England Patriots
2,Sun 8 Sep 1991,season,Detroit Lions,Green Bay Packers,Detroit Lions,Green Bay Packers
2,Sun 8 Sep 1991,season,Philadelphia Eagles,Phoenix Cardinals,Phoenix Cardinals,Philadelphia Eagles
2,Sun 8 Sep 1991,season,Buffalo Bills,Pittsburgh Steelers,Buffalo Bills,Pittsburgh Steelers
2,Sun 8 Sep 1991,season,Los Angeles Raiders,Denver Broncos,Los Angeles Raiders,Denver Broncos
2,Sun 8 Sep 1991,season,San Francisco 49ers,San Diego Chargers,San Francisco 49ers,San Diego Chargers
2,Sun 8 Sep 1991,season,Kansas City Chiefs,New Orleans Saints,New Orleans Saints,Kansas City Chiefs
2,Sun 8 Sep 1991,season,Tampa Bay Buccaneers,Chicago Bears,Chicago Bears,Tampa Bay Buccaneers
2,Sun 8 Sep 1991,season,Atlanta Falcons,Minnesota Vikings,Minnesota Vikings,Atlanta Falcons
2,Mon 9 Sep 1991,season,Dallas Cowboys,Washington Redskins,Washington Redskins,Dallas Cowboys
3,Sun 15 Sep 1991,season,Cleveland Browns,Cincinnati Bengals,Cleveland Browns,Cincinnati Bengals
3,Sun 15 Sep 1991,season,Chicago Bears,New York Giants,Chicago Bears,New York Giants
3,Sun 15 Sep 1991,season,San Diego Chargers,Atlanta Falcons,Atlanta Falcons,San Diego Chargers
3,Sun 15 Sep 1991,season,Green Bay Packers,Tampa Bay Buccaneers,Green Bay Packers,Tampa Bay Buccaneers
3,Sun 15 Sep 1991,season,Detroit Lions,Miami Dolphins,Detroit Lions,Miami Dolphins
3,Sun 15 Sep 1991,season,Dallas Cowboys,Philadelphia Eagles,Philadelphia Eagles,Dallas Cowboys
